Best of 3,HEROIC,Complexity,TYLOO,B8,FlyQuest,Lynn Vision,BetBoom,Wildcard,Chinggis Warriors,OG,NRG,Imperial,Fluxo,Legacy,Nemiga,Metizport
HEROIC,0,0.648,0.648,0.71825,0.648,0.896,0.71825,0.784,0.972,0.784,0.896,0.84375,0.896,0.84375,0.784,0.84375
Complexity,0.352,0,0.352,0.5,0.57475,0.784,0.42525,0.42525,0.972,0.57475,0.71825,0.648,0.784,0.57475,0.5,0.648
TYLOO,0.352,0.648,0,0.28175,0.648,0.648,0.28175,0.57475,0.93925,0.648,0.71825,0.71825,0.784,0.648,0.648,0.71825
B8,0.28175,0.5,0.71825,0,0.71825,0.784,0.648,0.71825,0.972,0.784,0.648,0.71825,0.84375,0.784,0.71825,0.784
FlyQuest,0.352,0.42525,0.352,0.28175,0,0.71825,0.28175,0.57475,0.93925,0.648,0.71825,0.71825,0.784,0.648,0.57475,0.648
Lynn Vision,0.104,0.216,0.352,0.216,0.28175,0,0.15625,0.28175,0.84375,0.352,0.5,0.28175,0.5,0.352,0.28175,0.352
BetBoom,0.28175,0.648,0.71825,0.352,0.71825,0.84375,0,0.784,0.972,0.784,0.84375,0.784,0.84375,0.784,0.784,0.84375
Wildcard,0.216,0.57475,0.42525,0.28175,0.42525,0.71825,0.216,0,0.896,0.71825,0.84375,0.648,0.84375,0.648,0.648,0.648
Chinggis Warriors,0.028,0.028,0.06075,0.028,0.06075,0.15625,0.028,0.104,0,0.104,0.216,0.104,0.15625,0.104,0.104,0.104
OG,0.216,0.42525,0.352,0.216,0.352,0.648,0.216,0.28175,0.896,0,0.71825,0.648,0.648,0.648,0.57475,0.648
NRG,0.104,0.28175,0.28175,0.352,0.28175,0.5,0.15625,0.15625,0.784,0.28175,0,0.352,0.5,0.352,0.352,0.352
Imperial,0.15625,0.352,0.28175,0.28175,0.28175,0.71825,0.216,0.352,0.896,0.352,0.648,0,0.57475,0.352,0.42525,0.42525
Fluxo,0.104,0.216,0.216,0.15625,0.216,0.5,0.15625,0.15625,0.84375,0.352,0.5,0.42525,0,0.28175,0.28175,0.352
Legacy,0.15625,0.42525,0.352,0.216,0.352,0.648,0.216,0.352,0.896,0.352,0.648,0.648,0.71825,0,0.5,0.5
Nemiga,0.216,0.5,0.352,0.28175,0.42525,0.71825,0.216,0.352,0.896,0.42525,0.648,0.57475,0.71825,0.5,0,0.5
Metizport,0.15625,0.352,0.28175,0.216,0.352,0.648,0.15625,0.352,0.896,0.352,0.648,0.57475,0.648,0.5,0.5,0
