bo3,Falcons,FaZe,3DMAX,Virtus.pro,paiN,FURIA,MIBR,M80,B8,HEROIC,BetBoom,OG,Nemiga,Lynn Vision,Legacy,TYLOO
Falcons,,0.75,0.85,0.8,0.85,0.75,0.8,0.8,0.8,0.7,0.85,0.8,0.85,0.8,0.8,0.8
FaZe,0.25,,0.65,0.55,0.8,0.55,0.65,0.7,0.65,0.4,0.65,0.65,0.75,0.7,0.7,0.65
3DMAX,0.15,0.35,,0.45,0.75,0.5,0.55,0.5,0.45,0.3,0.65,0.6,0.7,0.6,0.65,0.6
Virtus.pro,0.2,0.45,0.55,,0.8,0.55,0.55,0.7,0.6,0.35,0.4,0.7,0.7,0.65,0.65,0.65
paiN,0.15,0.2,0.25,0.2,,0.2,0.2,0.25,0.25,0.2,0.25,0.3,0.3,0.25,0.25,0.25
FURIA,0.25,0.45,0.5,0.45,0.8,,0.65,0.65,0.6,0.35,0.6,0.6,0.7,0.65,0.65,0.65
MIBR,0.2,0.35,0.45,0.45,0.8,0.35,,0.55,0.5,0.3,0.55,0.55,0.7,0.6,0.5,0.5
M80,0.2,0.3,0.5,0.3,0.75,0.35,0.45,,0.35,0.25,0.55,0.65,0.6,0.45,0.45,0.4
B8,0.2,0.35,0.55,0.4,0.75,0.4,0.5,0.65,,0.3,0.65,0.7,0.65,0.6,0.6,0.55
HEROIC,0.3,0.6,0.7,0.65,0.8,0.65,0.7,0.75,0.7,,0.75,0.75,0.85,0.7,0.7,0.7
BetBoom,0.15,0.35,0.35,0.6,0.75,0.4,0.45,0.45,0.35,0.25,,0.55,0.6,0.5,0.45,0.45
OG,0.2,0.35,0.4,0.3,0.7,0.4,0.45,0.35,0.3,0.25,0.45,,0.6,0.4,0.4,0.4
Nemiga,0.15,0.25,0.3,0.3,0.7,0.3,0.3,0.4,0.35,0.15,0.4,0.4,,0.35,0.35,0.35
Lynn Vision,0.2,0.3,0.4,0.35,0.75,0.35,0.4,0.55,0.4,0.3,0.5,0.6,0.65,,0.55,0.4
Legacy,0.2,0.3,0.35,0.35,0.75,0.35,0.5,0.55,0.4,0.3,0.55,0.6,0.65,0.45,,0.45
TYLOO,0.2,0.35,0.4,0.35,0.75,0.35,0.5,0.6,0.45,0.3,0.55,0.6,0.65,0.6,0.55,
