Best of 1,Falcons,FaZe,3DMAX,Virtus.pro,paiN,FURIA,MIBR,M80,placeholder1,placeholder2,placeholder3,placeholder4,placeholder5,placeholder6,placeholder7,placeholder8
Falcons,0,,,,,,,,,,,,,,,
FaZe,,0,,,,,,,,,,,,,,
3DMAX,,,0,,,,,,,,,,,,,
Virtus.pro,,,,0,,,,,,,,,,,,
paiN,,,,,0,,,,,,,,,,,
FURIA,,,,,,0,,,,,,,,,,
MIBR,,,,,,,0,,,,,,,,,
M80,,,,,,,,0,,,,,,,,
placeholder1,,,,,,,,,0,,,,,,,
placeholder2,,,,,,,,,,0,,,,,,
placeholder3,,,,,,,,,,,0,,,,,
placeholder4,,,,,,,,,,,,0,,,,
placeholder5,,,,,,,,,,,,,0,,,
placeholder6,,,,,,,,,,,,,,0,,
placeholder7,,,,,,,,,,,,,,,0,
placeholder8,,,,,,,,,,,,,,,,0
