bo3,Vitality,MOUZ,Spirit,G2,The Mongolz,Aurora,Natus Vincere,Liquid,Legacy,Virtus.pro,paiN,3DMAX,FURIA,FaZe,Nemiga,Lynn Vision
Vitality,0.5,0.784,0.84375,0.93925,0.784,0.784,0.84375,0.84375,0.93925,0.896,0.93925,0.896,0.896,0.896,0.93925,0.93925
MOUZ,0.216,0.5,0.648,0.84375,0.648,0.71825,0.71825,0.71825,0.896,0.784,0.896,0.784,0.784,0.784,0.896,0.896
Spirit,0.15625,0.352,0.5,0.84375,0.352,0.57475,0.784,0.784,0.84375,0.784,0.84375,0.84375,0.784,0.648,0.896,0.896
G2,0.06075,0.15625,0.15625,0.5,0.216,0.28175,0.42525,0.42525,0.648,0.5,0.71825,0.648,0.5,0.42525,0.784,0.71825
The Mongolz,0.216,0.352,0.648,0.784,0.5,0.5,0.648,0.71825,0.84375,0.784,0.896,0.784,0.71825,0.648,0.896,0.784
Aurora,0.216,0.28175,0.42525,0.71825,0.5,0.5,0.71825,0.784,0.784,0.784,0.896,0.84375,0.71825,0.71825,0.896,0.84375
Natus Vincere,0.15625,0.28175,0.216,0.57475,0.352,0.28175,0.5,0.5,0.71825,0.57475,0.84375,0.648,0.42525,0.42525,0.84375,0.784
Liquid,0.15625,0.28175,0.216,0.57475,0.28175,0.216,0.5,0.5,0.71825,0.42525,0.71825,0.42525,0.42525,0.28175,0.648,0.648
Legacy,0.06075,0.104,0.15625,0.352,0.15625,0.216,0.28175,0.28175,0.5,0.352,0.71825,0.352,0.42525,0.28175,0.71825,0.57475
Virtus.pro,0.104,0.216,0.216,0.5,0.216,0.216,0.42525,0.57475,0.648,0.5,0.84375,0.57475,0.5,0.42525,0.784,0.784
paiN,0.06075,0.104,0.15625,0.28175,0.104,0.104,0.15625,0.28175,0.28175,0.15625,0.5,0.352,0.42525,0.28175,0.42525,0.42525
3DMAX,0.104,0.216,0.15625,0.352,0.216,0.15625,0.352,0.57475,0.648,0.42525,0.648,0.5,0.5,0.216,0.71825,0.71825
FURIA,0.104,0.216,0.216,0.5,0.28175,0.28175,0.57475,0.57475,0.57475,0.5,0.57475,0.5,0.5,0.352,0.71825,0.648
FaZe,0.104,0.216,0.352,0.57475,0.352,0.28175,0.57475,0.71825,0.71825,0.57475,0.71825,0.784,0.648,0.5,0.84375,0.784
Nemiga,0.06075,0.104,0.104,0.216,0.104,0.104,0.15625,0.352,0.28175,0.216,0.57475,0.28175,0.28175,0.15625,0.5,0.42525
Lynn Vision,0.06075,0.104,0.104,0.28175,0.216,0.15625,0.216,0.352,0.42525,0.216,0.57475,0.28175,0.352,0.216,0.57475,0.5
