bo3,Vitality,MOUZ,Spirit,G2,The Mongolz,Aurora,Natus Vincere,Liquid,Legacy,Virtus.pro,paiN,3DMAX,FURIA,FaZe,Nemiga,Lynn Vision
Vitality,0.5,0.642414786,0.625365468,0.775660898,0.707037952,0.701644394,0.789892339,0.871873435,0.872383485,0.850646173,0.938299419,0.880000256,0.849947085,0.830846031,0.894844909,0.888488034
MOUZ,0.357585214,0.5,0.516183432,0.663655238,0.580010626,0.579878521,0.671754775,0.786641795,0.813627885,0.774435703,0.888227348,0.839839877,0.781461549,0.729785041,0.834082556,0.827757785
Spirit,0.374634532,0.483816568,0.5,0.671295727,0.579540796,0.576146597,0.690036292,0.771637007,0.824055745,0.780780995,0.902488524,0.827343095,0.779124541,0.736861071,0.855484463,0.825228443
G2,0.224339102,0.336344762,0.328704273,0.5,0.399745431,0.402279288,0.49905901,0.629973226,0.7151763,0.625678619,0.809512717,0.649095865,0.640843586,0.560382778,0.783089324,0.730531652
The Mongolz,0.292962048,0.419989374,0.420459204,0.592235512,0.5,0.496057404,0.590574281,0.715061938,0.772567021,0.712819737,0.863150881,0.731674079,0.72033304,0.649661881,0.826439415,0.788432419
Aurora,0.298355606,0.420121479,0.423853403,0.597720712,0.503942596,0.5,0.619090028,0.726685421,0.791460564,0.716751576,0.871351173,0.783017413,0.730832785,0.669848255,0.826887339,0.796862611
Natus Vincere,0.210107661,0.328245225,0.309963708,0.463836617,0.376841715,0.380909972,0.5,0.552533172,0.690667181,0.584403649,0.806267965,0.609773438,0.616497705,0.538089522,0.7328703,0.702427613
Liquid,0.128126565,0.213358205,0.228362993,0.347571884,0.269327355,0.273314579,0.324838947,0.5,0.611281467,0.471895759,0.672831658,0.497287528,0.496599663,0.42285948,0.664787149,0.631217209
Legacy,0.127616515,0.186372115,0.175944255,0.265360627,0.209605144,0.208539436,0.273215893,0.360385981,0.5,0.364931534,0.57478945,0.395830292,0.388522415,0.316556313,0.577994446,0.517484827
Virtus.pro,0.149353827,0.225564297,0.219219005,0.374321381,0.287180263,0.283248424,0.366913564,0.501557283,0.635068466,0.5,0.732399288,0.569850986,0.515866064,0.445329059,0.676919294,0.643127661
paiN,0.060246359,0.09321433,0.097511476,0.166869239,0.126508218,0.128648827,0.161345686,0.31692743,0.410994449,0.267600712,0.5,0.315519956,0.294027214,0.236566461,0.490132309,0.454612251
3DMAX,0.119999744,0.160160123,0.172656905,0.29569045,0.216067606,0.216982587,0.299938589,0.413821779,0.550891417,0.430149014,0.653670015,0.5,0.463650455,0.352673736,0.645744091,0.57314018
FURIA,0.139050679,0.218538451,0.220875459,0.359156414,0.27966696,0.269167215,0.383502295,0.503400337,0.611477585,0.484133936,0.686752668,0.536349545,0.5,0.42075398,0.674738052,0.648608568
FaZe,0.169153969,0.270214959,0.263138929,0.439617222,0.350338119,0.330151745,0.461910478,0.57714052,0.683443687,0.554670941,0.763433539,0.647326264,0.57924602,0.5,0.72634371,0.700824894
Nemiga,0.105155091,0.165917444,0.144515537,0.216910676,0.173560585,0.173112661,0.232429887,0.318167207,0.422005554,0.306661345,0.509867691,0.354255909,0.325261948,0.27365629,0.5,0.444458359
Lynn Vision,0.111511966,0.172242215,0.174771557,0.269468348,0.211567581,0.203137389,0.297572387,0.359893014,0.482515173,0.356872339,0.545387749,0.381471847,0.351391432,0.299175106,0.555541641,0.5
