bo1,Vitality,MOUZ,Spirit,G2,The Mongolz,Aurora,Natus Vincere,Liquid,Legacy,Virtus.pro,paiN,3DMAX,FURIA,FaZe,Nemiga,Lynn Vision
Vitality,0.5,0.637547342,0.599785029,0.707731715,0.67003241,0.658292905,0.741603108,0.84712816,0.787359951,0.772762501,0.872415859,0.777241431,0.773333333,0.754138817,0.801987376,0.80980057
MOUZ,0.362452658,0.5,0.507221412,0.609960264,0.576620745,0.571421589,0.621903907,0.728923555,0.737193316,0.740621931,0.790731915,0.816975971,0.724456144,0.696442407,0.725527311,0.749038462
Spirit,0.400214971,0.492778588,0.5,0.630874225,0.594246038,0.564532415,0.674362821,0.747026983,0.735394278,0.715087166,0.842404914,0.761323155,0.716956399,0.691607732,0.778923253,0.762590584
G2,0.292268285,0.390039736,0.369125775,0.5,0.4284377,0.451120399,0.508849466,0.630367991,0.670821554,0.604521729,0.769782111,0.622796165,0.609140236,0.565115172,0.724599235,0.665685702
The Mongolz,0.32996759,0.423379255,0.405753962,0.554369005,0.5,0.491228235,0.586481954,0.668039483,0.697240865,0.656402404,0.796549712,0.664294448,0.638230372,0.614375324,0.747710354,0.705505051
Aurora,0.341707095,0.428578411,0.435467585,0.548879601,0.508771765,0.5,0.622760171,0.715984174,0.703197674,0.694464374,0.822314377,0.752001553,0.673506721,0.63481861,0.741879091,0.716796159
Natus Vincere,0.258396892,0.378096093,0.325637179,0.455971484,0.389410208,0.377239829,0.5,0.499920372,0.609882263,0.556547631,0.779674741,0.565200068,0.561038846,0.494223599,0.661113595,0.590367521
Liquid,0.15287184,0.271076445,0.252973017,0.325662808,0.272716471,0.284015826,0.306334497,0.5,0.522125105,0.417666296,0.601074572,0.448887359,0.480674747,0.389300049,0.562654385,0.573891041
Legacy,0.212640049,0.262806684,0.264605722,0.322652179,0.296987129,0.296802326,0.335719812,0.373453451,0.5,0.418315202,0.592096298,0.423896104,0.432388593,0.370305199,0.576884838,0.502133854
Virtus.pro,0.227237499,0.259378069,0.284912834,0.395478271,0.343597596,0.305535626,0.421971004,0.525283798,0.581684798,0.5,0.702180311,0.536185069,0.50566646,0.467109635,0.644953775,0.563279857
paiN,0.124560556,0.139343637,0.157595086,0.192937221,0.175776028,0.177685623,0.201841902,0.378443604,0.375247908,0.297819689,0.5,0.329024566,0.348960647,0.276679141,0.46489505,0.459790022
3DMAX,0.222758569,0.183024029,0.238676845,0.367435962,0.25551425,0.247998447,0.362202608,0.480562133,0.4823868,0.463814931,0.646420491,0.5,0.494306662,0.350411257,0.626196943,0.516444692
FURIA,0.21959832,0.275543856,0.283043601,0.390859764,0.361769628,0.326493279,0.438961154,0.519325253,0.567611407,0.49433354,0.622893949,0.505693338,0.5,0.456849315,0.635169699,0.607661164
FaZe,0.245861183,0.303557593,0.308392268,0.434884828,0.385624676,0.36518139,0.505776401,0.610699951,0.629694801,0.532890365,0.723320859,0.649588743,0.543150685,0.5,0.672619175,0.630520162
Nemiga,0.198012624,0.274472689,0.221076747,0.275400765,0.252289646,0.258120909,0.33218034,0.381838642,0.423115162,0.347458623,0.53510495,0.373803057,0.364830301,0.327380825,0.5,0.448549277
Lynn Vision,0.19019943,0.250961538,0.237409416,0.334314298,0.294494949,0.283203841,0.409632479,0.420021858,0.497866146,0.436720143,0.540209978,0.414220097,0.392338836,0.369479838,0.551450723,0.5
