Best of 1,HEROIC,Complexity,TYLOO,B8,FlyQuest,Lynn Vision,BetBoom,Wildcard,Chinggis Warriors,OG,NRG,Imperial,Fluxo,Legacy,Nemiga,Metizport
HEROIC,0,0.6,0.6,0.65,0.6,0.8,0.65,0.7,0.9,0.7,0.8,0.75,0.8,0.75,0.7,0.75
Complexity,0.4,0,0.4,0.5,0.55,0.7,0.45,0.45,0.9,0.55,0.65,0.6,0.7,0.55,0.5,0.6
TYLOO,0.4,0.6,0,0.35,0.6,0.6,0.35,0.55,0.85,0.6,0.65,0.65,0.7,0.6,0.6,0.65
B8,0.35,0.5,0.65,0,0.65,0.7,0.6,0.65,0.9,0.7,0.6,0.65,0.75,0.7,0.65,0.7
FlyQuest,0.4,0.45,0.4,0.35,0,0.65,0.35,0.55,0.85,0.6,0.65,0.65,0.7,0.6,0.55,0.6
Lynn Vision,0.2,0.3,0.4,0.3,0.35,0,0.25,0.35,0.75,0.4,0.5,0.35,0.5,0.4,0.35,0.4
BetBoom,0.35,0.6,0.65,0.4,0.65,0.75,0,0.7,0.9,0.7,0.75,0.7,0.75,0.7,0.7,0.75
Wildcard,0.3,0.55,0.45,0.35,0.45,0.65,0.3,0,0.8,0.65,0.75,0.6,0.75,0.6,0.6,0.6
Chinggis Warriors,0.1,0.1,0.15,0.1,0.15,0.25,0.1,0.2,0,0.2,0.3,0.2,0.25,0.2,0.2,0.2
OG,0.3,0.45,0.4,0.3,0.4,0.6,0.3,0.35,0.8,0,0.65,0.6,0.6,0.6,0.55,0.6
NRG,0.2,0.35,0.35,0.4,0.35,0.5,0.25,0.25,0.7,0.35,0,0.4,0.5,0.4,0.4,0.4
Imperial,0.25,0.4,0.35,0.35,0.35,0.65,0.3,0.4,0.8,0.4,0.6,0,0.55,0.4,0.45,0.45
Fluxo,0.2,0.3,0.3,0.25,0.3,0.5,0.25,0.25,0.75,0.4,0.5,0.45,0,0.35,0.35,0.4
Legacy,0.25,0.45,0.4,0.3,0.4,0.6,0.3,0.4,0.8,0.4,0.6,0.6,0.65,0,0.5,0.5
Nemiga,0.3,0.5,0.4,0.35,0.45,0.65,0.3,0.4,0.8,0.45,0.6,0.55,0.65,0.5,0,0.5
Metizport,0.25,0.4,0.35,0.3,0.4,0.6,0.25,0.4,0.8,0.4,0.6,0.55,0.6,0.5,0.5,0
